product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
triad-crystal-bowl-set,CB-CEG-BG,true,ACTIVE,3955000,3558000,53500,43500,"",0,style=CEG,4
triad-crystal-bowl-set,CB-DFA-BG,false,ACTIVE,3725000,3425000,48500,38500,"",0,style=DFA,4
triad-crystal-bowl-set,CB-EGB-BG,false,ACTIVE,3525000,3325000,47500,37500,"",0,style=EGB,4
tune-sound-pipe,woo-var-45978,true,ACTIVE,1550000,1350000,16500,14500,"",0,type=432 Hz,4
tune-sound-pipe,woo-var-45979,false,ACTIVE,1550000,1350000,16500,14500,"",0,type=465 Hz,4
tune-sound-pipe,woo-var-45980,false,ACTIVE,1550000,1350000,16500,14500,"",0,type=639 Hz,4
tune-sound-pipe,woo-var-45981,false,ACTIVE,1550000,1350000,16500,14500,"",0,type=900 Hz,4
tuning-fork-activators,MI-TF-A,true,ACTIVE,25000,15000,1000,300,"",0,type=Activator,4
tuning-fork-activators,MI-TF-A-M,false,ACTIVE,35000,25000,1200,500,"",0,type=Activator & Mallet,4
tuning-fork-activators,MI-TF-M,false,ACTIVE,25000,15000,1000,300,"",0,type=Mallet,4
tuning-fork-extensions,MI-TF-E-CB,false,ACTIVE,79000,69000,2500,1100,"",0,type=Circuit Boot,4
tuning-fork-extensions,MI-TF-E-E,true,ACTIVE,65000,45000,1500,800,"",0,type=Extender,4
tuning-fork-extensions,MI-TF-E-MB,false,ACTIVE,69000,59000,2000,1000,"",0,type=Massage Boot,4
